b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = 163.24230938214936, l = -31.827423304834145, h = -6383679.059411648
b = -146.07237039891368, l = -106.99802251542638, h = -6388602.383958103
b = -179.4389953984472, l = -80.38187212486532, h = -6381095.484380504
b = -162.3224229806852, l = 71.74724420738002, h = -6383497.6396007715
b = -105.09161940141064, l = -24.563514613943525, h = -6406779.949481249
b = -112.59183043346268, l = 168.8329659739656, h = -6402867.210575551
b = 90.57359062194617, l = 108.75012095284461, h = -6504967.275318174
b = -175.93355088131705, l = 133.35648475541456, h = -6381053.150572115
b = 179.184408317197, l = -141.0994548832897, h = -6382029.6731022475
b = 175.89727479209333, l = -173.0675086591812, h = -6381179.153433724
b = 164.1749876597705, l = -32.15689846359552, h = -6383502.388849165
b = -145.65306030477709, l = -107.62362317456207, h = -6388793.371722705
b = -179.3352502195535, l = -81.12456298205878, h = -6381073.698010532
b = -161.52599636334844, l = 72.47555322925339, h = -6383687.638722401
b = -104.66692906007312, l = -25.823094553879653, h = -6407055.590525975
b = -113.47363099267294, l = 169.88405997953626, h = -6402447.279561413
b = 90.46367888247491, l = 111.65765767485301, h = -6527175.864549051
b = -175.5200266697274, l = 134.28390876319875, h = -6381076.47232401
b = 179.2776790308726, l = -140.8842295421381, h = -6382053.703565072
b = 176.23962913898927, l = -172.20982878574958, h = -6381149.41173002
b = 165.06237350963963, l = -32.48161132893678, h = -6383344.936358325
b = -145.24721407358533, l = -108.24057573051005, h = -6388980.316885744
b = -179.21890252068735, l = -81.8784988477392, h = -6381052.202890979
b = 145.58925077723546, l = 73.20385201242428, h = -6388880.816709728
b = -175.2289620055213, l = 134.90218869019245, h = -6381094.478743095
b = 179.3363516090569, l = -140.7421308267253, h = -6382069.479937638
b = 176.45808789938633, l = -171.6343662261641, h = -6381131.056232876
b = -167.57565363243378, l = 38.87989454498979, h = -6383197.516598993
b = -104.14969367302696, l = -27.522912309399825, h = -6407403.703063058
b = -114.7168131026002, l = 171.26051500010811, h = -6401864.671554881
b = 90.34464556925452, l = 115.72096990600407, h = -6566946.865611233
b = 160.75093469942496, l = -38.56884531536533, h = -6383852.244794009
b = -144.8542998507342, l = -108.84927947412268, h = -6389163.267612383
b = 103.62185493782069, l = -50.639311622425986, h = -6400873.621473804
b = -167.35212633607532, l = 39.01273923839112, h = -6383253.568646322
b = -103.91146983049578, l = -28.38088433455672, h = -6407569.106919204
b = -178.92066246225974, l = 171.93780248393307, h = -6380683.100895673
b = 144.4135023053805, l = 74.17537973729435, h = -6389349.349389778
b = -174.6094576828097, l = 136.13882865344976, h = -6381137.109897312
b = 179.44639466491083, l = -140.46146129525903, h = -6382100.411884397
b = 90.27379659882548, l = 118.89634392144967, h = -6606884.72513618
b = 162.097582660456, l = -38.708410412256754, h = -6383564.332216793
b = -144.47432814242816, l = -109.45007050202926, h = -6389342.078559428
b = 106.34634503806251, l = -56.31852294832411, h = -6399989.402884163
b = -167.01629082554183, l = 39.21015766798512, h = -6383338.484699534
b = -103.57882594005366, l = -29.67790788558295, h = -6407805.934673552
b = -116.38142143523406, l = 172.9404557515808, h = -6401097.728828921
b = 176.8596234200023, l = -10.532111135179644, h = -6380976.120729555
b = -166.90392462833614, l = 39.27539908172989, h = -6383367.055740879
b = -103.47420776410083, l = -30.112667228678486, h = -6407881.949382365
b = -116.72909863529546, l = 173.27122995353153, h = -6400939.034695012
b = 176.96339845915497, l = -10.83757998239739, h = -6380968.404688769
b = -166.79174472944393, l = 39.34050015315912, h = -6383395.711578966
b = -103.37299489750664, l = -30.54859348995535, h = -6407956.199117785
b = -117.08155775746019, l = 173.6001061845837, h = -6400778.600683089
b = 177.06503345843774, l = -11.143558479634653, h = -6380960.950502322
b = -166.67935772998402, l = 39.405315728742025, h = -6383424.488226397
b = -103.27467816520571, l = -30.985796584653123, h = -6408029.037091176
b = 120.84426653906851, l = 173.92709707277916, h = -6398962.710752003
b = 90.1863913525591, l = 124.39111619793117, h = -6697895.619427984
b = 164.14910943061236, l = -38.93293587590701, h = -6383170.683838404
b = -143.8683150412042, l = -110.43409726873364, h = -6389631.116247242
b = -178.58441729499916, l = 84.52113634701624, h = -6380863.298930741
b = 142.39992684338267, l = 75.876385408415, h = -6390172.731934509
b = -173.40259157730205, l = 138.30145438919823, h = -6381236.4765340565
b = 153.4796706462205, l = -139.98078307589682, h = -6386884.147327832
b = 90.16112620408379, l = 126.64458579940809, h = -6742672.411866206
b = 164.90590224515648, l = -39.01999875388694, h = -6383039.759811079
b = -143.6353767133746, l = -110.82187356146356, h = -6389743.512264224
b = 177.44969738787051, l = -12.374819042173897, h = -6380933.576437381
b = -166.22870928073198, l = 39.662260755300665, h = -6383540.803342095
b = -102.91265336850077, l = -32.74548958506999, h = -6408303.625376497
b = -178.8041608009145, l = 134.09561054525793, h = -6381880.676475633
b = 141.55666111919925, l = 76.6057581821618, h = -6390524.924982017
b = -172.83725782603588, l = 139.22731781742985, h = -6381290.272081952
b = 154.23762042838166, l = -139.77852168655514, h = -6386655.393115058
b = 90.13272906169557, l = 130.0662504691104, h = -6813601.880450625
b = 165.97715081815153, l = -39.14816457349048, h = -6382868.112376255
b = -143.29620022229312, l = -111.39762731061515, h = -6389908.525421646
b = 177.71575250881125, l = -13.30590144488302, h = -6380915.350875719
b = -165.88976972490846, l = 39.85258914292258, h = -6383629.259730269
b = -102.67250732026304, l = -34.07566480337543, h = -6408491.772957089
b = -178.67595382147795, l = 134.57057076426236, h = -6381886.412656637
b = 140.7263975929971, l = 77.3353179177807, h = -6390875.669224618
b = -172.2430608163878, l = 140.15227188518384, h = -6381351.716290243
b = 154.98084344352714, l = -139.57841254823708, h = -6386436.1983837895
b = 90.11508982781402, l = 133.51671798444337, h = -6875843.047771549
b = 166.97507375248722, l = -39.27308705319138, h = -6382723.095052036
b = -142.9685370745167, l = -111.96632700482427, h = -6390069.421562445
b = 177.9629811907625, l = -14.24327614288115, h = -6380898.88034275
b = -165.55011330231443, l = 40.040965391908884, h = -6383718.725859747
b = -102.4584534144129, l = -35.41401386099098, h = -6408664.033822055
b = -178.53900137991172, l = 135.04495467922544, h = -6381892.174372171
b = 139.91004765003967, l = 78.06507304719143, h = -6391224.235400199
b = -171.62020788801684, l = 141.07616571496544, h = -6381421.4476972995
b = 155.70992032188911, l = -139.3803096011873, h = -6386226.210710262
b = 90.10768671727888, l = 136.97210519885667, h = -6909053.41831747
b = 167.9045478182672, l = -39.39527298660256, h = -6382601.344599167
b = -142.6524075379898, l = -112.52799614312487, h = -6390226.110090724
b = 178.19178392291323, l = -15.187110156379472, h = -6380883.949768628
b = -165.21001848705453, l = 40.22752967634737, h = -6383809.160936204
b = -102.26984855523511, l = -36.75941063623797, h = -6408819.8046299955
b = -178.39275895284717, l = 135.5189473546951, h = -6381897.996290705
b = 139.10827730914124, l = 78.79512654148745, h = -6391569.979861839
b = -170.96909839501825, l = 141.9989863586164, h = -6381500.106615034
b = 156.42411684676796, l = -139.18422341234097, h = -6386025.434644254
b = 90.1102671274482, l = 140.40869943719062, h = -6899311.3963481225
b = 168.76937273830387, l = -39.51461634967597, h = -6382499.99064458
b = -142.34739348596088, l = -113.08315849690995, h = -6390378.663110164
b = 90.11330481199923, l = 141.54592110359994, h = -6886986.986504322
b = 169.04422572284733, l = -39.55384106752954, h = -6382470.247102371
b = -142.24834689729883, l = -113.26675781537287, h = -6390428.514312464
b = 178.46906719666046, l = -16.454840882387334, h = -6380866.160797682
b = -164.75531149161841, l = 40.47371660015947, h = -6383931.338384603
b = -102.05694457026667, l = -38.5624824311139, h = -6409000.765916831
b = 128.0513450692212, l = 179.22329227062986, h = -6395799.438357132
b = 90.1227276199184, l = 143.8040697056829, h = -6852052.590912697
b = 169.5741854658317, l = -39.6312651694809, h = -6382416.324239685
b = -142.05375390242384, l = -113.63195015881817, h = -6390526.877471079
b = 90.12909475283692, l = 144.9226338107613, h = -6831155.524151472
b = 169.82968330316024, l = -39.6697258921998, h = -6382391.97273427
b = -141.95829905613056, l = -113.81334194802268, h = -6390575.351335056
b = 178.6571125501661, l = -17.41264821542543, h = -6380854.184026065
b = -164.4137578507461, l = 40.65633609785, h = -6384024.081435945
b = -101.92535495928131, l = -39.92037551674512, h = -6409115.941696867
b = -178.01248937818124, l = 136.623553042191, h = -6381912.287657486
b = 137.29782687770185, l = 80.49984102539268, h = -6392362.37539675
b = -169.34271609237936, l = 144.14648953811292, h = -6381721.952003837
b = -179.97171392337336, l = -138.73386958644534, h = -6382277.979303602
b = 90.15502501899711, l = 148.22908619651392, h = -6763285.112079642
b = 170.56018384844262, l = -39.78297527474813, h = -6382328.357047966
b = -141.67864646733355, l = -114.35385308226195, h = -6390718.133709282
b = -176.27922161798622, l = 90.73741663192811, h = -6380791.7556328615
b = 136.79691168782742, l = 80.98702223874952, h = -6392584.311384714
b = -168.8513252552835, l = 144.75836212886182, h = -6381796.009570983
b = -178.0393459722397, l = -138.60681099949014, h = -6382317.198917176
b = 136.5495110516016, l = 81.23078809803843, h = -6392694.335385274
b = -168.6013887130716, l = 145.0640908766001, h = -6381834.906857125
b = -177.98923690490517, l = -138.54360305226285, h = -6382324.413998622
b = 136.3036347689474, l = 81.47461899433836, h = -6392803.947124622
b = -168.34879170014614, l = 145.36953660454589, h = -6381875.07027753
b = -177.93833539730755, l = -138.48064189584886, h = -6382331.60880602
b = 136.05997701936033, l = 81.71834383399373, h = -6392912.828258105
b = -168.09322569268323, l = 145.6747500470983, h = -6381916.558821655
b = -177.88667584514923, l = -138.4178200534691, h = -6382338.79064057
b = 135.81762111501726, l = 81.96211858209826, h = -6393021.3653900875
b = -167.83501683944655, l = 145.97984713304746, h = -6381959.353989625
b = -177.83425140832765, l = -138.35513358776024, h = -6382345.961385569
b = 135.57770524075906, l = 82.20599876957276, h = -6393129.065000261
b = -167.57417944441278, l = 146.28454418264806, h = -6382003.474130347
b = -177.7810133499751, l = -138.29257859649513, h = -6382353.124296629
b = 135.3397857207399, l = 82.44976391250731, h = -6393236.091502692
b = -167.31055816833964, l = 146.5891237880062, h = -6382048.971979957
b = 159.7819557402556, l = -138.23025328690383, h = -6385149.609358773
b = 90.2771035541179, l = 156.57729842437726, h = -6612476.8434434105
b = 172.2668589661781, l = -40.0740579126059, h = -6382216.052909381
b = -140.98461556198717, l = -115.76604936122447, h = -6391078.129521809
b = 179.21307603292541, l = -20.973953091848703, h = -6380818.182265068
b = -163.15803494667207, l = 41.31314166116904, h = -6384372.075298845
b = -101.6427722983735, l = -44.921687006549575, h = -6409379.6846575625
b = 179.30072599935917, l = -160.87968234993414, h = -6381106.608043779
b = -163.0436223153803, l = 41.37193669851021, h = -6384404.317631382
b = -101.63239162397691, l = -45.37687360375113, h = -6409390.904307446
b = -177.21761495003372, l = 138.51654629152685, h = -6381941.878018251
b = 134.40732989010067, l = 83.42562893468349, h = -6393657.765870585
b = -166.23100286479416, l = 147.80486578152733, h = -6382244.678003657
b = -177.50296446354247, l = -137.9825320493197, h = -6382388.842773623
b = 134.178944979857, l = 83.66972172644574, h = -6393761.565158518
b = -165.95502031720105, l = 148.10835583703798, h = -6382297.11725466
b = 160.8239293167916, l = -137.92097733900718, h = -6384901.48861961
b = 90.3969334295916, l = 161.37294818862776, h = -6553707.3321158
b = 173.17648994865493, l = -40.24822735479843, h = -6382178.33870509
b = -140.58721729582405, l = -116.62855637953334, h = -6391288.113547263
b = 90.42535055788323, l = 162.28958924206793, h = -6544544.353577561
b = 173.34553974953513, l = -40.28243328420751, h = -6382173.124898966
b = -140.51090260428256, l = -116.79926566862947, h = -6391328.769001422
b = 179.43971835262937, l = -22.947050909401078, h = -6380802.576020266
b = -162.47144321914564, l = 41.66371749043983, h = -6384566.898751952
b = -101.61711619253873, l = -47.65046003475722, h = -6409415.627579797
b = -176.8266349089269, l = 139.30649884443557, h = -6381957.5731355725
b = 133.28674326083626, l = 84.646220851626, h = -6394168.95069911
b = -164.82835036264456, l = 149.31879815066824, h = -6382521.229854776
b = 161.63020209699317, l = -137.67636511475385, h = -6384717.411636226
b = 90.52027020763472, l = 164.95248600980673, h = -6521041.998055416
b = 173.82849673588882, l = -40.3835931450191, h = -6382161.505381956
b = -140.28866464104004, l = -117.30801341901334, h = -6391447.845995853
b = 90.55523028860475, l = 165.81044770932837, h = -6514362.658447823
b = 173.98177493969155, l = -40.41701582503882, h = -6382158.85243687
b = -140.21658900199634, l = -117.47650102301616, h = -6391486.668680469
b = 179.56633498547356, l = -24.273577130172846, h = -6380793.4095309395
b = -162.01328953271548, l = 41.89463161619724, h = -6384698.643959377
b = -101.64966444727249, l = -49.46419227585079, h = -6409396.7814188935
b = -176.48603639939984, l = 139.93931127101501, h = -6381972.234610785
b = 132.4266339750756, l = 85.62344644856866, h = -6394564.426741322
b = -163.667872345354, l = 150.5248328437951, h = -6382768.688651545
b = 162.41292676107068, l = -137.4340665943855, h = -6384545.376833233
b = 90.67074728764062, l = 168.29842892208038, h = -6497112.404041934
b = 174.4198393306321, l = -40.51576315699523, h = -6382154.089595781
b = -140.00665230330418, l = -117.9785911241944, h = -6391600.384479689
b = 179.65050429902047, l = -25.27393048569697, h = -6380787.0985102
b = -161.66933870893934, l = 42.06651058967453, h = -6384798.43252122
b = -101.69985220172154, l = -50.81975519183356, h = -6409360.612125315
b = -176.21359928735933, l = 140.4146592117802, h = -6381984.734497816
b = 131.80332571077145, l = 86.35682445641666, h = -6394852.648132361
b = -162.77799091855223, l = 151.42628155789856, h = -6382969.663871359
b = 162.98472872796862, l = -137.2536043619697, h = -6384423.886285301
b = 90.80308650808023, l = 170.6565300397204, h = -6483275.025276082
b = 174.8271009933941, l = -40.61301801165785, h = -6382153.55444177
b = -139.80638689727238, l = -118.47592462053238, h = -6391709.825145261
b = 179.72689162729475, l = -26.278841681370942, h = -6380781.255721115
b = -161.3254361754999, l = 42.23735783352093, h = -6384898.969525033
b = -101.77219625566457, l = -52.17026341850737, h = -6409305.742315167
b = -175.92599139497602, l = 140.89076222934952, h = -6381998.7380241025
b = 131.19879992677423, l = 87.09030984293994, h = -6395133.444534783
b = 175.1420720367133, l = 130.31164429996835, h = -6382180.04125776
b = -139.67764983444295, l = -118.80479298267443, h = -6391780.642384509
b = 179.77417166529304, l = -26.95111665786332, h = -6380777.600168233
b = -161.09615183795086, l = 42.350665922917344, h = -6384966.41330704
b = -166.30629487253933, l = 23.81987298872552, h = -6382653.505213142
b = 163.72705584009194, l = -137.01499060076142, h = -6384271.463928689
b = 91.00777890165536, l = 173.60502155645585, h = -6468795.707732922
b = 144.4445214221897, l = -40.73993556767104, h = -6390120.757318525
b = -101.86687797596426, l = -53.514505469100136, h = -6409232.484020912
b = -175.6227061161848, l = 141.36780974510623, h = -6382014.459249986
b = 130.61263243355035, l = 87.82439568559172, h = -6395406.867061056
b = 175.4502321503049, l = 130.72258921983797, h = -6382163.680956138
b = -139.4920709651692, l = -119.29446298726592, h = -6391883.453230444
b = 179.84063016051127, l = -27.962997975552042, h = -6380772.463708971
b = -160.75218365108947, l = 42.51981184360126, h = -6385068.2034049
b = -165.28529388920714, l = 23.31236436958423, h = -6382819.734754318
b = 164.2690126978128, l = -136.83717299459738, h = -6384163.964508558
b = 91.18418908692983, l = 175.67523478494292, h = -6460176.383101645
b = 145.38093738837753, l = -40.833411303644795, h = -6389772.04032279
b = -101.98405846628413, l = -54.85155148175385, h = -6409141.207350506
b = -175.30316734562402, l = 141.84565635943585, h = -6382032.13959634
b = 130.04505519729915, l = 88.55868403285857, h = -6395672.675869685
b = 175.74336479396996, l = 131.13270194370105, h = -6382149.078654585
b = -139.31551379179714, l = -119.77987803504931, h = -6391982.140854988
b = 179.90308248492244, l = -28.9788078204491, h = -6380767.749258019
b = -160.4083357863207, l = 42.68807566579629, h = -6385170.682604207
b = -164.2003095076125, l = 22.796045336462758, h = -6383011.927479742
b = 164.79835319730782, l = -136.66047888552694, h = -6384062.0507939765
b = 91.38170650906957, l = 177.63062368753293, h = -6453018.324658763
b = 146.30256343402527, l = -40.92533829377731, h = -6389434.230858946
b = -102.12378020073741, l = -56.180453833681554, h = -6409032.593016706
b = -174.966865984655, l = 142.32449072563526, h = -6382052.031191548
b = 129.49646892239974, l = 89.29349213274517, h = -6395930.572661574
b = 176.02211799950746, l = 131.5421560473628, h = -6382136.014204114
b = -139.14759196701925, l = -120.26093746614885, h = -6392076.801780771
b = 179.96298806182511, l = -29.998202404657775, h = -6380763.43218114
b = -160.06458319682295, l = 42.85554726304738, h = -6385273.84332424
b = -163.04897549609603, l = 22.270555983632452, h = -6383232.863331484
b = 165.3156223919213, l = -136.4846193102229, h = -6383965.410134021
b = 91.60160380112231, l = 179.47629980615727, h = -6447019.836772179
b = 147.20885395577528, l = -41.015905397591446, h = -6389107.558810745
b = -102.28630955319271, l = -57.50022934105939, h = -6408907.094498095
b = -174.61326359437942, l = 142.8045320030126, h = -6382074.394614885
b = 128.96616570246027, l = 90.02859275696888, h = -6396180.763898311
b = 176.28687792914894, l = 131.95100343679735, h = -6382124.279009632
b = -138.98799227720238, l = -120.73785310716195, h = -6392167.5640757065
b = -179.97809765092356, l = -31.02108286651267, h = -6380759.533548186
b = -159.72070451521327, l = 43.02213015192966, h = -6385377.732218639
b = -161.8295679072145, l = 21.735479309393654, h = -6383485.35796892
b = 165.82066046571876, l = -136.30969468914057, h = -6383873.854641362
b = 91.84543991265691, l = -178.78141950676607, h = -6441944.960639779
b = 148.09954562125276, l = -41.105158054401, h = -6388792.065660116
b = -102.47199070259072, l = -58.81038309719439, h = -6408765.306849754
b = -174.24181165557627, l = 143.28582207720052, h = -6382099.547295189
b = 128.4542590255085, l = 90.76394374749253, h = -6396423.090849798
b = 176.53823153387276, l = 132.3593329614954, h = -6382113.710665728
b = -138.83696373267253, l = -121.21087657578312, h = -6392254.250094713
b = -179.91863493246802, l = -32.04710131217842, h = -6380756.038270178
b = -159.3769247772211, l = 43.18790632631393, h = -6385482.259999516
b = -160.53980503347853, l = 21.19042257119536, h = -6383772.437814253
b = 166.31394805646457, l = -136.13551688621266, h = -6383787.092275911
b = 92.11454163396968, l = -177.13665740095314, h = -6437618.314151359
b = 148.97497073316882, l = -41.19308772713791, h = -6388487.5963136
b = -102.68134458768878, l = -60.109504230612096, h = -6408607.732955598
b = -173.85208883786652, l = 143.76845951209876, h = -6382127.790365857
b = 127.96084507194291, l = 91.4998606270482, h = -6396657.409675358
b = 176.77670369439045, l = 132.76741561282336, h = -6382104.136393277
b = -138.69410440002204, l = -121.6800696546051, h = -6392337.025354703
b = -179.85703473029005, l = -33.0758770303042, h = -6380752.957941506
b = -159.03347771247516, l = 43.35305832093442, h = -6385587.353350842
b = -159.17873798486858, l = 20.63507719947533, h = -6384096.892548598
b = 166.79530559913772, l = -135.9620942357807, h = -6383704.936850417
b = 92.41038811892973, l = -175.58316280024752, h = -6433900.695307148
b = 149.83456835153387, l = -41.27983140214991, h = -6388194.2480015075
b = -102.9144735195422, l = -61.397358326784115, h = -6408435.219232911
b = -173.44340072853527, l = 144.25263805354695, h = -6382159.479283849
b = 127.48593685939817, l = 92.23611582661735, h = -6396883.63776224
b = 177.00269431805444, l = 133.17510885952285, h = -6382095.403891339
b = -138.5593829198337, l = -122.14568227379078, h = -6392415.840762134
b = -179.7917264174111, l = -34.10738125229028, h = -6380750.319997957
b = -158.68993088978627, l = 43.5174877131606, h = -6385693.117884631
b = -157.74603121534213, l = 20.068991196675423, h = -6384461.353433975
b = 167.26525012099654, l = -135.78951922002227, h = -6383627.111362614
b = 92.7344813342258, l = -174.11528968768286, h = -6430683.376992508
b = 150.67821575943273, l = -41.365375643550394, h = -6387911.988163033
b = -103.17188947172765, l = -62.67287862318909, h = -6408248.360392981
b = -173.01523919623133, l = 144.73833806251122, h = -6382194.977216466
b = 127.0292858437562, l = 92.97266081194017, h = -6397101.807727282
b = 177.21673362774928, l = 133.58248585204814, h = -6382087.3806187315
b = -138.43288633537287, l = -122.60763546673473, h = -6392490.640959247
b = -179.72108821230503, l = -35.14127285135226, h = -6380748.124866761
b = -158.34664955161244, l = 43.68127942588339, h = -6385799.434973095
b = -156.24067538755523, l = 19.491602370446667, h = -6384868.523454932
b = 167.7238875709582, l = -135.6175161997871, h = -6383553.408512698
b = 93.08838334656934, l = -172.7279957194075, h = -6427879.925595783
b = 151.5057900007555, l = -41.4497727366846, h = -6387640.719019051
b = -103.45406112519109, l = -63.93539590105441, h = -6408047.839409296
b = -172.5672316971097, l = 145.2257566758788, h = -6382234.660364711
b = 126.59035345674107, l = 93.70962616819875, h = -6397312.099532629
b = 177.4193266738331, l = 133.98992654400632, h = -6382079.939869706
b = -138.3138314050655, l = -123.06631098393268, h = -6392561.724382282
b = -179.64353182621724, l = -36.17702456124883, h = -6380746.4095693845
b = -158.00352196289415, l = 43.84460688618451, h = -6385906.311816915
b = -154.66393446046442, l = 18.90254099294784, h = -6385320.361182842
b = 168.17125671169975, l = -135.44618530326306, h = -6383483.62221009
b = 93.47351013005688, l = -171.41521401650664, h = -6425422.2523652995
b = 152.3175545807579, l = -41.533178339205314, h = -6387380.192986243
b = -103.76180898182082, l = -65.18474448643093, h = -6407834.016792455
b = -172.0986968125845, l = 145.7149650864181, h = -6382278.967194837
b = 126.16950997657777, l = 94.44697798639906, h = -6397514.240057717
b = 177.61085956075198, l = 134.39739266873565, h = -6382072.956989614
b = -138.20289700126452, l = -123.52162279369816, h = -6392628.774014935
b = -179.55750544904492, l = -37.21470346946073, h = -6380745.214266086
b = -157.660718178679, l = 44.007187509398065, h = -6386013.681857494
b = -153.01737661559721, l = 18.30156893424936, h = -6385818.389022613
b = 168.60773053633346, l = -135.2753435390979, h = -6383417.53150099
b = 93.89160636805182, l = -170.17218226097344, h = -6423253.7512877835
b = 153.1134061242541, l = -41.61565186076836, h = -6387130.286806257
b = -104.09538128446137, l = -66.42024375251164, h = -6407607.755666247
b = -171.60912836839617, l = 146.20607529859498, h = -6382328.332430789
b = 125.7661590041251, l = 95.18483827088761, h = -6397708.463467736
b = 177.79188711790206, l = 134.80495757686958, h = -6382066.346501553
b = -138.09994794657823, l = -123.97377790593168, h = -6392691.823426243
b = -179.46141718794155, l = -38.253709715962835, h = -6380744.579375176
b = -157.31798184119444, l = 44.169470099716165, h = -6386121.602615269
b = -151.30313486250895, l = 17.687804405404812, h = -6386363.618940713
b = 169.03324432693657, l = -135.10499960964114, h = -6383354.935954352
b = 94.34405931549419, l = -168.9945626874454, h = -6421330.233077473
b = 178.02741349388367, l = -41.69714724471924, h = -6382309.668762735
b = -138.03509523003663, l = -124.27361547250985, h = -6392731.897263743
b = -179.39103288745298, l = -38.94722115073872, h = -6380744.488625104
b = -157.08974502733537, l = 44.27747205130966, h = -6386193.780498201
b = -150.12449444772818, l = 17.27148007854367, h = -6386753.369536285
b = 169.31108766952426, l = -134.9916491981868, h = -6383315.043861797
b = 94.66564097841587, l = -168.24316869512086, h = -6420164.862283666
b = 154.40429981215334, l = -41.750952143315374, h = -6386736.92566832
b = -104.71070379410851, l = -68.44665387606304, h = -6407204.224409533
b = -170.74550125588095, l = 147.02910843507448, h = -6382423.10561579
b = 125.13323567231598, l = 96.41532642172592, h = -6398014.171870827
b = 178.07139398286316, l = 135.48471937170518, h = -6382055.88659338
b = -137.9447697528478, l = -124.72086601661012, h = -6392788.506856758
b = -179.27485356984593, l = -39.98807708411856, h = -6380744.917802149
b = -156.74739561674613, l = 44.43898303818374, h = -6386302.50107407
b = -148.3055025943473, l = 16.635689452412628, h = -6387377.05718261
b = 169.71895493070733, l = -134.8220648083765, h = -6383257.848961934
b = 95.17902986612924, l = -167.16444368942166, h = -6418569.298908027
b = 155.1578336482379, l = -41.830901804975824, h = -6386514.359761653
b = -105.11669959886716, l = -69.64254039303991, h = -6406946.949354953
b = -170.19786572435433, l = 147.52584462215697, h = -6382488.294427092
b = 124.77662122297161, l = 97.15415328712052, h = -6398186.917212304
b = 178.2264837737418, l = 135.89300501085063, h = -6382049.813384433
b = -137.86159834038548, l = -125.16524744686033, h = -6392841.413854368
b = -179.1446639464919, l = -41.02961016295169, h = -6380746.07331441
b = -156.40540902163207, l = 44.6002301324975, h = -6386411.634961674
b = -146.4306965814637, l = 15.985990188992501, h = -6388045.961494193
b = 170.11656244268218, l = -134.65284022735955, h = -6383203.608356804
b = 95.7312342186223, l = -166.13940844377584, h = -6417132.194987738
b = 155.89563478767323, l = -41.91002161189125, h = -6386301.630534465
b = -105.55104942639547, l = -70.82281130663992, h = -6406678.82919615
b = -169.62742712750517, l = 148.0248823647767, h = -6382560.385327218
b = 124.43673222686412, l = 97.89325719917522, h = -6398351.874605156
b = 178.37265470580547, l = 136.3018153495961, h = -6382043.798330692
b = -137.7858852211304, l = -125.60704637891683, h = -6392890.449523799
b = -178.99904507767008, l = -42.07158117730507, h = -6380748.073068695
b = -156.0635800138737, l = 44.76111072621958, h = -6386521.211126637
b = -144.50647260831332, l = 15.321736286714726, h = -6388757.430815966
b = 170.5040789866075, l = -134.48389085174787, h = -6383152.158076975
b = 96.32365882745137, l = -165.16503086964826, h = -6415831.082127132
b = 156.61769332407957, l = -41.98844402401699, h = -6386098.494924837
b = -106.01440550645547, l = -71.98745595475283, h = -6406400.275948691
b = -169.03404529763034, l = 148.52637937307298, h = -6382639.908337362
b = 124.11386570496616, l = 98.63292332873904, h = -6398508.857968522
b = 178.51036685599487, l = 136.71132002050993, h = -6382037.7910380885
b = -137.71757955294973, l = -126.04624774939369, h = -6392935.6210749615
b = -178.83670482017374, l = -43.113534005421116, h = -6380751.018158139
b = -155.72187332905312, l = 44.921797892071716, h = -6386631.245718796
b = -142.53930290673608, l = 14.642506638648845, h = -6389508.101725891
b = 170.88146721741006, l = -134.31522396894465, h = -6383103.34506684
b = 96.95800880031565, l = -164.23721452612415, h = -6414646.304238584
b = 157.32445048312042, l = -42.066037950217016, h = -6385904.604135285
b = -106.50783756701595, l = -73.13610618520246, h = -6406111.284475723
b = -168.41702619009772, l = 149.03046126658361, h = -6382727.47624874
b = 123.80774597485156, l = 99.37295342041631, h = -6398657.922817795
b = 178.6400321218766, l = 137.12138226515253, h = -6382031.726918808
b = -137.65630414309663, l = -126.4830454568578, h = -6392977.082245804
b = -178.65630641505803, l = -44.15534941901858, h = -6380755.046002466
b = -155.38050514260652, l = 45.08218873208449, h = -6386741.635649509
b = -140.53880362441183, l = 13.947496159131774, h = -6390292.721786903
b = 171.24896353315773, l = -134.14675479359784, h = -6383056.9912886685
b = 97.63579415869765, l = -163.35340339699545, h = -6413561.1637846045
b = 158.0157183786286, l = -42.142934253618016, h = -6385719.7570844535
b = -107.03149751996287, l = -74.26838636984729, h = -6405812.389323638
b = -167.77639426050644, l = 149.53734030800243, h = -6382823.623958254
b = 123.51827615118225, l = 100.11324320854126, h = -6398799.093195607
b = 178.7620369181024, l = 137.5323857868883, h = -6382025.555885251
b = -137.60230020643147, l = -126.91741901659327, h = -6393014.710483339
b = -178.45671539316373, l = -45.19659713681195, h = -6380760.315882755
b = -155.039499418103, l = 45.24245411037963, h = -6386852.360174464
b = -138.51307082030098, l = 13.236188874370882, h = -6391106.037560117
b = 171.60690247999818, l = -133.97839876491932, h = -6383012.914402
b = 98.35871070358661, l = -162.51061002815678, h = -6412561.103420409
b = 158.6920768413567, l = -42.21928082002503, h = -6385543.551657113
b = -107.58684380761426, l = -75.38447311540705, h = -6405503.272592965
b = -167.111437678926, l = 150.04674361075422, h = -6382929.033064979
b = 123.2453008250493, l = 100.85412652997537, h = -6398932.377461944
b = 178.8768598777659, l = 137.94429825053837, h = -6382019.230744124
b = -137.5554890379146, l = -127.34952827302274, h = -6393048.507765316
b = -178.2368586542653, l = -46.236999661236574, h = -6380767.018971626
